date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_puckline,home_puckline_price,away_puckline,away_puckline_price,total_open,total_open_price,total_close,total_close_price
2017-10-04,2017,1,WPG,TOR,2,7,-110.0,-115.0,-110.0,-105.0,-1.5,235.0,1.5,-295.0,5.5,-125.0,6.0,-115.0
2017-10-04,2017,3,PIT,STL,4,5,-185.0,-180.0,165.0,160.0,-1.5,160.0,1.5,-185.0,5.5,-110.0,5.5,105.0
2017-10-04,2017,5,EDM,CGY,3,0,-152.0,-155.0,132.0,135.0,-1.5,190.0,1.5,-230.0,5.5,-106.0,5.5,-105.0
2017-10-04,2017,7,SJS,PHI,3,5,-160.0,-150.0,140.0,130.0,-1.5,200.0,1.5,-240.0,5.5,104.0,5.0,-135.0
2017-10-05,2017,51,BUF,MTL,2,3,110.0,105.0,-130.0,-125.0,1.5,-270.0,-1.5,220.0,5.0,-120.0,5.0,-135.0
2017-10-05,2017,53,BOS,NSH,4,3,-135.0,-116.0,115.0,-104.0,-1.5,235.0,1.5,-295.0,5.5,100.0,5.0,-130.0
2017-10-05,2017,55,NYR,COL,2,4,-200.0,-210.0,170.0,180.0,-1.5,144.0,1.5,-165.0,5.5,-105.0,5.5,-111.0
2017-10-05,2017,57,OTT,WSH,4,5,125.0,120.0,-145.0,-140.0,1.5,-244.0,-1.5,204.0,5.5,110.0,5.5,125.0
2017-10-05,2017,59,DET,MIN,4,2,120.0,120.0,-140.0,-140.0,1.5,-260.0,-1.5,210.0,5.5,-110.0,5.0,-140.0
2017-10-05,2017,61,CHI,PIT,10,1,-135.0,-130.0,115.0,110.0,-1.5,210.0,1.5,-260.0,5.5,-125.0,5.5,-120.0
2017-10-05,2017,63,LAK,PHI,2,0,-165.0,-153.0,145.0,133.0,-1.5,182.0,1.5,-218.0,5.0,-130.0,5.0,-135.0
2017-10-05,2017,65,ANA,ARI,5,4,-185.0,-157.0,165.0,137.0,-1.5,185.0,1.5,-215.0,5.5,100.0,5.5,110.0
2017-10-06,2017,1,CBJ,NYI,5,0,-160.0,-145.0,140.0,125.0,-1.5,200.0,1.5,-240.0,5.5,-120.0,5.5,100.0
2017-10-06,2017,3,TBL,FLA,5,3,-165.0,-185.0,145.0,165.0,-1.5,160.0,1.5,-180.0,5.5,100.0,5.5,100.0
2017-10-06,2017,5,DAL,VGK,1,2,-240.0,-235.0,200.0,195.0,-1.5,115.0,1.5,-135.0,5.5,-119.0,5.5,-135.0
2017-10-07,2017,51,OTT,DET,1,2,-138.0,-138.0,118.0,118.0,-1.5,218.0,1.5,-265.0,5.5,120.0,5.5,110.0
2017-10-07,2017,53,FLA,TBL,5,4,-105.0,-112.0,-115.0,-108.0,-1.5,250.0,1.5,-315.0,5.5,-115.0,5.5,-110.0
2017-10-07,2017,55,NJD,COL,4,1,-155.0,-128.0,135.0,108.0,-1.5,230.0,1.5,-290.0,5.0,-120.0,5.5,129.0
2017-10-07,2017,57,PIT,NSH,4,0,-170.0,-155.0,150.0,135.0,-1.5,190.0,1.5,-230.0,6.0,100.0,6.0,-110.0
2017-10-07,2017,59,TOR,NYR,8,5,-145.0,-148.0,125.0,128.0,-1.5,203.0,1.5,-245.0,6.0,100.0,6.0,-120.0
2017-10-07,2017,61,WSH,MTL,6,1,-139.0,-142.0,119.0,122.0,-1.5,215.0,1.5,-260.0,5.0,-125.0,5.0,-140.0
2017-10-07,2017,63,NYI,BUF,6,3,-127.0,-125.0,107.0,105.0,-1.5,230.0,1.5,-290.0,5.5,100.0,5.5,-110.0
2017-10-07,2017,65,CAR,MIN,5,4,-122.0,-128.0,102.0,108.0,-1.5,215.0,1.5,-265.0,5.5,110.0,5.5,115.0
2017-10-07,2017,67,STL,DAL,4,2,-127.0,-146.0,107.0,126.0,-1.5,210.0,1.5,-260.0,5.5,-110.0,5.5,-120.0
2017-10-07,2017,69,CHI,CBJ,5,1,-143.0,-155.0,123.0,135.0,-1.5,190.0,1.5,-230.0,5.5,-110.0,5.5,-115.0
2017-10-07,2017,71,ARI,VGK,1,2,-160.0,-180.0,140.0,160.0,-1.5,165.0,1.5,-185.0,5.5,-110.0,5.5,-120.0
2017-10-07,2017,73,CGY,WPG,6,3,-142.0,-125.0,122.0,105.0,-1.5,231.0,1.5,-291.0,5.5,-120.0,5.5,-125.0
2017-10-07,2017,75,ANA,PHI,2,3,-133.0,-128.0,113.0,108.0,-1.5,210.0,1.5,-260.0,5.5,115.0,5.5,105.0
2017-10-07,2017,77,VAN,EDM,3,2,165.0,141.0,-185.0,-161.0,1.5,-205.0,-1.5,175.0,5.0,-130.0,5.5,105.0
2017-10-07,2017,79,SJS,LAK,1,4,-128.0,-142.0,108.0,122.0,-1.5,210.0,1.5,-260.0,5.0,-110.0,5.0,-120.0
2017-10-08,2017,1,NYR,MTL,2,0,-120.0,-125.0,100.0,105.0,-1.5,235.0,1.5,-295.0,5.0,-135.0,5.5,105.0
2017-10-09,2017,51,BOS,COL,0,4,-205.0,-200.0,175.0,170.0,-1.5,160.0,1.5,-180.0,5.5,-105.0,5.5,105.0
2017-10-09,2017,53,NYI,STL,2,3,-109.0,-130.0,-111.0,110.0,-1.5,225.0,1.5,-275.0,5.5,105.0,5.5,-110.0
2017-10-09,2017,55,BUF,NJD,2,6,-127.0,-137.0,107.0,117.0,-1.5,205.0,1.5,-245.0,5.0,-140.0,5.5,105.0
2017-10-09,2017,57,TOR,CHI,4,3,-143.0,-163.0,123.0,143.0,-1.5,175.0,1.5,-205.0,6.5,-110.0,6.5,-110.0
2017-10-09,2017,59,TBL,WSH,4,3,-125.0,-119.0,105.0,-101.0,-1.5,240.0,1.5,-300.0,5.5,-110.0,5.5,-120.0
