date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_puckline,home_puckline_price,away_puckline,away_puckline_price,total_open,total_open_price,total_close,total_close_price
2021-10-12,2021,1,TBL,PIT,2,6,-140.0,-250.0,120.0,220.0,-1.5,100.0,1.5,-120.0,6.0,-120.0,5.5,-130.0
2021-10-12,2021,3,VGK,SEA,4,3,-290.0,-230.0,235.0,205.0,-1.5,110.0,1.5,-130.0,5.5,110.0,5.5,105.0
2021-10-13,2021,51,WSH,NYR,5,1,-135.0,-108.0,115.0,-102.0,-1.5,205.0,1.5,-235.0,6.0,-120.0,6.0,-120.0
2021-10-13,2021,53,TOR,MTL,2,1,-190.0,-196.0,160.0,176.0,-1.5,125.0,1.5,-145.0,5.5,-120.0,6.0,-115.0
2021-10-13,2021,55,EDM,VAN,3,2,-180.0,-198.0,150.0,178.0,-1.5,115.0,1.5,-135.0,6.5,100.0,6.5,-130.0
2021-10-13,2021,57,COL,CHI,4,2,-315.0,-185.0,255.0,165.0,-1.5,130.0,1.5,-150.0,6.0,-110.0,6.0,-120.0
2021-10-13,2021,59,ANA,WPG,4,1,130.0,132.0,-150.0,-145.0,1.5,-190.0,-1.5,170.0,5.5,-105.0,5.5,100.0
2021-10-14,2021,61,OTT,TOR,3,2,145.0,155.0,-170.0,-170.0,1.5,-160.0,-1.5,140.0,6.5,100.0,6.5,105.0
2021-10-14,2021,63,BUF,MTL,5,1,110.0,132.0,-130.0,-145.0,1.5,-190.0,-1.5,170.0,5.5,-125.0,5.5,-125.0
2021-10-14,2021,65,FLA,PIT,5,4,-165.0,-175.0,140.0,157.0,-1.5,135.0,1.5,-155.0,6.5,100.0,6.5,100.0
2021-10-14,2021,67,CAR,NYI,6,3,-125.0,-125.0,105.0,115.0,-1.5,195.0,1.5,-220.0,5.5,-115.0,5.5,100.0
2021-10-14,2021,69,NYR,DAL,2,3,-125.0,-132.0,105.0,122.0,-1.5,185.0,1.5,-210.0,5.5,-130.0,6.0,100.0
2021-10-14,2021,71,CBJ,ARI,8,2,-135.0,-160.0,115.0,145.0,-1.5,155.0,1.5,-175.0,5.5,-125.0,5.5,-105.0
2021-10-14,2021,73,DET,TBL,6,7,205.0,185.0,-255.0,-205.0,1.5,-135.0,-1.5,115.0,6.0,-110.0,5.5,-115.0
2021-10-14,2021,75,NSH,SEA,3,4,-140.0,-126.0,120.0,116.0,-1.5,180.0,1.5,-205.0,5.5,-125.0,5.5,-115.0
2021-10-14,2021,77,LAK,VGK,6,2,130.0,143.0,-150.0,-158.0,1.5,-170.0,-1.5,150.0,5.5,-120.0,5.5,-115.0
2021-10-15,2021,79,NJD,CHI,4,3,-125.0,-131.0,105.0,121.0,-1.5,180.0,1.5,-205.0,6.0,-125.0,6.0,-125.0
2021-10-15,2021,81,PHI,VAN,4,5,-150.0,-134.0,130.0,124.0,-1.5,165.0,1.5,-185.0,6.0,-105.0,6.0,-115.0
2021-10-15,2021,83,ANA,MIN,1,2,140.0,155.0,-165.0,-170.0,1.5,-175.0,-1.5,155.0,5.5,100.0,5.5,100.0
2021-10-16,2021,1,BUF,ARI,2,1,-115.0,-120.0,-105.0,110.0,-1.5,195.0,1.5,-220.0,5.5,-110.0,5.5,-120.0
2021-10-16,2021,3,FLA,NYI,5,1,-135.0,-131.0,115.0,121.0,-1.5,195.0,1.5,-220.0,5.5,-110.0,5.5,-125.0
2021-10-16,2021,5,WSH,TBL,1,2,-105.0,109.0,-115.0,-119.0,1.5,-220.0,-1.5,195.0,6.5,100.0,6.5,100.0
2021-10-16,2021,7,MTL,NYR,1,3,-120.0,-105.0,100.0,-105.0,-1.5,215.0,1.5,-245.0,6.0,100.0,6.0,100.0
2021-10-16,2021,9,BOS,DAL,3,1,-170.0,-180.0,145.0,160.0,-1.5,140.0,1.5,-160.0,5.5,115.0,5.5,110.0
2021-10-16,2021,11,CBJ,SEA,2,1,-115.0,105.0,-105.0,-115.0,1.5,-250.0,-1.5,220.0,5.5,-120.0,5.5,-120.0
2021-10-16,2021,13,TOR,OTT,3,1,-235.0,-250.0,190.0,220.0,-1.5,-105.0,1.5,-115.0,6.0,-115.0,6.0,-120.0
2021-10-16,2021,15,PIT,CHI,5,2,-190.0,-130.0,160.0,120.0,-1.5,170.0,1.5,-190.0,6.0,-120.0,6.0,-110.0
2021-10-16,2021,17,DET,VAN,3,1,-105.0,110.0,-115.0,-120.0,1.5,-230.0,-1.5,200.0,5.5,-115.0,5.5,-110.0
2021-10-16,2021,19,NSH,CAR,2,3,-115.0,103.0,-105.0,-113.0,1.5,-250.0,-1.5,220.0,5.5,-125.0,5.5,-120.0
2021-10-16,2021,21,COL,STL,3,5,-180.0,-140.0,150.0,130.0,-1.5,160.0,1.5,-180.0,5.5,-120.0,5.5,-120.0
2021-10-16,2021,23,EDM,CGY,5,2,-140.0,-150.0,120.0,135.0,-1.5,160.0,1.5,-180.0,6.5,-110.0,6.0,-115.0
2021-10-16,2021,25,SJS,WPG,4,3,100.0,120.0,-120.0,-130.0,1.5,-210.0,-1.5,185.0,6.5,105.0,6.5,105.0
2021-10-16,2021,27,LAK,MIN,2,3,125.0,104.0,-145.0,-114.0,1.5,-230.0,-1.5,200.0,5.5,-105.0,6.0,100.0
2021-10-17,2021,29,OTT,DAL,3,2,-181.0,125.0,557.0,-135.0,1.5,-205.0,-1.5,180.0,5.5,-115.0,5.5,110.0
2021-10-18,2021,31,TOR,NYR,1,2,-185.0,-180.0,155.0,160.0,-1.5,130.0,1.5,-150.0,6.0,-115.0,6.0,-120.0
2021-10-18,2021,33,PHI,SEA,6,1,-160.0,-133.0,135.0,123.0,-1.5,165.0,1.5,-185.0,6.0,100.0,5.5,-125.0
2021-10-18,2021,35,CGY,ANA,2,3,-170.0,-190.0,145.0,170.0,-1.5,130.0,1.5,-150.0,5.5,-115.0,5.5,-105.0
2021-10-18,2021,37,ARI,STL,4,7,120.0,158.0,-140.0,-176.0,1.5,-175.0,-1.5,155.0,5.5,-125.0,5.5,-105.0
2021-10-19,2021,39,PIT,DAL,1,2,-135.0,-123.0,115.0,113.0,-1.5,195.0,1.5,-220.0,5.5,-135.0,5.5,-110.0
2021-10-19,2021,41,MTL,SJS,0,5,-135.0,-155.0,115.0,140.0,-1.5,160.0,1.5,-180.0,5.5,-120.0,6.0,100.0
2021-10-19,2021,43,NJD,SEA,4,2,-145.0,-145.0,125.0,132.0,-1.5,165.0,1.5,-185.0,5.5,-125.0,5.5,-120.0
2021-10-19,2021,45,BUF,VAN,5,2,110.0,136.0,-130.0,-151.0,1.5,-195.0,-1.5,175.0,6.0,-110.0,6.0,100.0
2021-10-19,2021,47,TBL,FLA,1,4,-140.0,-110.0,120.0,100.0,-1.5,195.0,1.5,-220.0,6.5,100.0,6.0,-120.0
2021-10-19,2021,49,WSH,COL,6,3,-130.0,113.0,110.0,-123.0,1.5,-235.0,-1.5,205.0,6.0,-115.0,6.0,-115.0
2021-10-19,2021,51,DET,CBJ,4,1,-125.0,-120.0,105.0,110.0,-1.5,200.0,1.5,-230.0,6.0,-115.0,5.5,100.0
2021-10-19,2021,53,MIN,WPG,6,5,-150.0,-150.0,130.0,135.0,-1.5,165.0,1.5,-185.0,5.5,100.0,5.5,-120.0
2021-10-19,2021,55,NSH,LAK,2,1,-145.0,-130.0,125.0,120.0,-1.5,175.0,1.5,-200.0,5.5,-115.0,5.5,110.0
2021-10-19,2021,57,CHI,NYI,1,4,-105.0,102.0,-115.0,-112.0,1.5,-245.0,-1.5,215.0,5.5,-135.0,5.5,-120.0
2021-10-19,2021,59,EDM,ANA,6,5,-225.0,-280.0,185.0,245.0,-1.5,-110.0,1.5,-110.0,5.5,-110.0,6.0,-110.0
2021-10-20,2021,61,PHI,BOS,6,3,105.0,122.0,-125.0,-132.0,1.5,-210.0,-1.5,185.0,5.5,-120.0,5.5,-125.0
2021-10-20,2021,63,VGK,STL,1,3,-140.0,-120.0,120.0,110.0,-1.5,195.0,1.5,-220.0,5.5,-120.0,5.5,-125.0
2021-10-21,2021,65,CBJ,NYI,3,2,115.0,131.0,-135.0,-142.0,1.5,-200.0,-1.5,175.0,5.5,-120.0,5.5,110.0
2021-10-21,2021,67,NJD,WSH,1,4,115.0,119.0,-135.0,-129.0,1.5,-210.0,-1.5,185.0,6.5,100.0,6.0,-120.0
2021-10-21,2021,69,FLA,COL,4,1,-120.0,-123.0,100.0,113.0,-1.5,190.0,1.5,-215.0,6.5,-115.0,6.5,-135.0
2021-10-21,2021,71,OTT,SJS,1,2,-115.0,100.0,-105.0,-110.0,-1.5,225.0,1.5,-255.0,6.0,-105.0,6.0,-105.0
2021-10-21,2021,73,MTL,CAR,1,4,-105.0,116.0,-115.0,-126.0,1.5,-210.0,-1.5,185.0,6.0,100.0,5.5,-120.0
2021-10-21,2021,75,DET,CGY,0,3,105.0,119.0,-125.0,-129.0,1.5,-215.0,-1.5,190.0,6.0,-110.0,5.5,-115.0
2021-10-21,2021,77,NSH,NYR,1,3,-110.0,-115.0,-110.0,105.0,-1.5,210.0,1.5,-240.0,5.5,-135.0,5.5,-115.0
2021-10-21,2021,79,WPG,ANA,5,1,-190.0,-170.0,160.0,155.0,-1.5,145.0,1.5,-165.0,5.5,-115.0,5.5,-110.0
2021-10-21,2021,81,CHI,VAN,1,4,-125.0,-126.0,105.0,116.0,-1.5,180.0,1.5,-205.0,6.0,-115.0,6.5,-105.0
2021-10-21,2021,83,ARI,EDM,1,5,160.0,180.0,-190.0,-200.0,1.5,-150.0,-1.5,130.0,6.0,-105.0,6.0,-125.0
2021-10-22,2021,1,TOR,SJS,3,5,-190.0,-240.0,160.0,210.0,-1.5,100.0,1.5,-120.0,6.0,-120.0,6.0,-135.0
2021-10-22,2021,3,BUF,BOS,1,4,150.0,200.0,-180.0,-220.0,1.5,-140.0,-1.5,120.0,6.0,-115.0,6.0,100.0
2021-10-22,2021,5,DAL,LAK,3,2,-150.0,-155.0,130.0,140.0,-1.5,155.0,1.5,-175.0,5.5,-120.0,5.5,115.0
2021-10-22,2021,7,VGK,EDM,3,5,-145.0,-122.0,125.0,112.0,-1.5,185.0,1.5,-210.0,6.5,100.0,6.5,100.0
2021-10-23,2021,9,OTT,NYR,2,3,130.0,120.0,-150.0,-130.0,1.5,-200.0,-1.5,175.0,6.0,100.0,6.0,-105.0
2021-10-23,2021,11,WSH,CGY,3,4,-165.0,-148.0,140.0,134.0,-1.5,150.0,1.5,-170.0,6.5,100.0,6.0,-105.0
2021-10-23,2021,13,MIN,ANA,4,3,-275.0,-230.0,225.0,205.0,-1.5,105.0,1.5,-125.0,5.5,-125.0,5.5,-110.0
2021-10-23,2021,15,TBL,COL,3,4,-120.0,-108.0,100.0,-102.0,-1.5,250.0,1.5,-300.0,6.0,-125.0,6.0,-110.0
