date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_puckline,home_puckline_price,away_puckline,away_puckline_price,total_open,total_open_price,total_close,total_close_price
2018-10-03,2018,1,TOR,MTL,3,2,-220.0,-240.0,184.0,210.0,-1.5,105.0,1.5,-125.0,6.0,-110.0,6.0,-110.0
2018-10-03,2018,3,WSH,BOS,7,0,-135.0,-115.0,115.0,105.0,-1.5,230.0,1.5,-290.0,5.5,-110.0,5.5,-120.0
2018-10-03,2018,5,VAN,CGY,5,2,110.0,120.0,-130.0,-130.0,1.5,-240.0,-1.5,200.0,5.5,-110.0,5.5,-115.0
2018-10-03,2018,7,SJS,ANA,2,5,-170.0,-180.0,148.0,160.0,-1.5,165.0,1.5,-185.0,5.5,-110.0,5.5,100.0
2018-10-04,2018,51,PIT,WSH,7,6,-160.0,-160.0,140.0,145.0,-1.5,170.0,1.5,-200.0,6.0,-110.0,6.0,-125.0
2018-10-04,2018,53,CAR,NYI,1,2,-140.0,-165.0,120.0,150.0,-1.5,170.0,1.5,-200.0,6.0,-110.0,6.5,105.0
2018-10-04,2018,55,BUF,BOS,0,4,100.0,125.0,-120.0,-135.0,1.5,-215.0,-1.5,185.0,5.5,-110.0,6.0,100.0
2018-10-04,2018,57,DET,CBJ,2,3,120.0,120.0,-140.0,-130.0,1.5,-260.0,-1.5,210.0,5.5,-110.0,5.5,-125.0
2018-10-04,2018,59,OTT,CHI,3,4,100.0,102.0,-120.0,-112.0,1.5,-265.0,-1.5,215.0,6.0,-110.0,6.0,-105.0
2018-10-04,2018,61,NYR,NSH,2,3,-160.0,160.0,140.0,-180.0,1.5,-200.0,-1.5,170.0,6.0,-110.0,6.0,100.0
2018-10-04,2018,63,STL,WPG,1,5,-130.0,102.0,110.0,-112.0,1.5,-290.0,-1.5,230.0,5.5,-110.0,6.0,-110.0
2018-10-04,2018,65,DAL,ARI,3,0,-185.0,-180.0,160.0,160.0,-1.5,150.0,1.5,-170.0,5.5,-110.0,6.0,110.0
2018-10-04,2018,67,COL,MIN,4,1,-160.0,-106.0,140.0,-104.0,1.5,-290.0,-1.5,230.0,5.5,-110.0,6.0,100.0
2018-10-04,2018,69,VGK,PHI,2,5,-155.0,-190.0,135.0,170.0,-1.5,167.0,1.5,-187.0,6.0,-110.0,6.0,-115.0
2018-10-05,2018,1,CBJ,CAR,1,3,-160.0,-150.0,140.0,135.0,-1.5,180.0,1.5,-210.0,5.5,-110.0,6.0,105.0
2018-10-05,2018,3,LAK,SJS,2,3,-125.0,110.0,105.0,-120.0,1.5,-290.0,-1.5,230.0,5.5,-110.0,5.5,110.0
2018-10-06,2018,51,NJD,EDM,5,2,120.0,100.0,-140.0,-110.0,1.5,-290.0,-1.5,230.0,6.0,-110.0,6.0,-110.0
2018-10-06,2018,53,TOR,OTT,3,5,-265.0,-290.0,218.0,250.0,-1.5,-115.0,1.5,-105.0,6.0,-120.0,6.0,-120.0
2018-10-06,2018,55,DAL,WPG,5,1,-122.0,100.0,102.0,-110.0,1.5,-295.0,-1.5,235.0,6.0,-110.0,6.0,-110.0
2018-10-06,2018,57,BUF,NYR,3,1,-125.0,-130.0,105.0,120.0,-1.5,210.0,1.5,-260.0,6.0,-105.0,6.0,-105.0
2018-10-06,2018,59,PIT,MTL,1,5,-265.0,-250.0,218.0,220.0,-1.5,115.0,1.5,-135.0,6.0,-120.0,6.0,-115.0
2018-10-06,2018,61,TBL,FLA,2,1,-185.0,-180.0,160.0,160.0,-1.5,160.0,1.5,-180.0,6.0,-110.0,6.5,-105.0
2018-10-06,2018,63,NYI,NSH,3,4,135.0,135.0,-155.0,-150.0,1.5,-210.0,-1.5,180.0,6.0,-110.0,6.0,-110.0
2018-10-06,2018,65,STL,CHI,4,5,-150.0,-174.0,130.0,157.0,-1.5,170.0,1.5,-200.0,6.0,100.0,6.0,100.0
2018-10-06,2018,67,MIN,VGK,1,2,-127.0,-115.0,107.0,105.0,-1.5,225.0,1.5,-275.0,5.5,-125.0,5.5,-120.0
2018-10-06,2018,69,ARI,ANA,0,1,107.0,100.0,-127.0,-110.0,1.5,-275.0,-1.5,225.0,5.5,-110.0,5.5,110.0
2018-10-06,2018,71,COL,PHI,5,2,-120.0,-105.0,100.0,-105.0,-1.5,245.0,1.5,-305.0,6.0,-110.0,6.0,-110.0
2018-10-06,2018,73,CGY,VAN,7,4,-215.0,-210.0,180.0,190.0,-1.5,140.0,1.5,-160.0,6.0,-105.0,6.0,-105.0
2018-10-07,2018,1,CAR,NYR,8,5,-200.0,-205.0,170.0,185.0,-1.5,135.0,1.5,-155.0,6.0,-110.0,6.0,-105.0
2018-10-07,2018,3,CHI,TOR,6,7,140.0,130.0,-160.0,-140.0,1.5,-240.0,-1.5,200.0,6.5,-110.0,6.5,-110.0
2018-10-07,2018,5,LAK,DET,4,2,-205.0,-195.0,172.0,175.0,-1.5,147.0,1.5,-167.0,5.5,110.0,5.5,105.0
2018-10-08,2018,51,NYI,SJS,4,0,128.0,145.0,-148.0,-160.0,1.5,-175.0,-1.5,155.0,6.0,-110.0,6.0,-110.0
2018-10-08,2018,53,BOS,OTT,6,3,-260.0,-265.0,215.0,235.0,-1.5,-105.0,1.5,-115.0,6.0,-110.0,6.0,-120.0
2018-10-08,2018,55,BUF,VGK,4,2,118.0,135.0,-138.0,-150.0,1.5,-230.0,-1.5,190.0,5.5,-110.0,5.5,-115.0
2018-10-08,2018,57,ANA,DET,3,2,-210.0,-185.0,176.0,165.0,-1.5,140.0,1.5,-160.0,5.5,-110.0,5.5,110.0
2018-10-09,2018,1,CBJ,COL,5,2,-150.0,-147.0,130.0,133.0,-1.5,185.0,1.5,-215.0,6.0,-110.0,6.0,105.0
2018-10-09,2018,3,PHI,SJS,2,8,100.0,-115.0,-120.0,105.0,-1.5,225.0,1.5,-275.0,6.0,-110.0,6.0,-105.0
2018-10-09,2018,5,CAR,VAN,5,3,-180.0,-190.0,155.0,170.0,-1.5,145.0,1.5,-165.0,6.0,-110.0,6.0,-105.0
2018-10-09,2018,7,NSH,CGY,0,3,-175.0,-160.0,151.0,145.0,-1.5,170.0,1.5,-200.0,6.0,-110.0,6.0,100.0
2018-10-09,2018,9,WPG,LAK,2,1,-185.0,-190.0,160.0,170.0,-1.5,150.0,1.5,-170.0,5.5,-110.0,6.0,-105.0
2018-10-09,2018,11,DAL,TOR,4,7,-120.0,-125.0,100.0,115.0,-1.5,200.0,1.5,-240.0,6.0,-110.0,6.5,-110.0
2018-10-10,2018,51,OTT,PHI,4,7,108.0,122.0,-128.0,-132.0,1.5,-235.0,-1.5,195.0,6.5,-115.0,6.5,-110.0
2018-10-10,2018,53,WSH,VGK,5,2,-143.0,-145.0,123.0,132.0,-1.5,185.0,1.5,-215.0,6.0,-110.0,6.0,-110.0
2018-10-10,2018,55,ANA,ARI,2,3,-165.0,-150.0,144.0,135.0,-1.5,190.0,1.5,-220.0,5.5,-110.0,5.5,120.0
2018-10-11,2018,1,PIT,VGK,4,2,-180.0,-180.0,160.0,160.0,-1.5,145.0,1.5,-165.0,6.5,-110.0,6.5,-115.0
2018-10-11,2018,3,FLA,CBJ,4,5,-135.0,-134.0,115.0,124.0,-1.5,210.0,1.5,-260.0,5.5,-110.0,6.0,-110.0
2018-10-11,2018,5,BUF,COL,1,6,-115.0,110.0,-105.0,-120.0,1.5,-270.0,-1.5,220.0,6.0,-110.0,6.0,100.0
2018-10-11,2018,7,NJD,WSH,6,0,-130.0,-117.0,110.0,107.0,-1.5,235.0,1.5,-295.0,6.0,-110.0,6.5,-105.0
2018-10-11,2018,9,NYR,SJS,3,2,151.0,135.0,-175.0,-150.0,1.5,-215.0,-1.5,185.0,6.0,-110.0,6.0,-110.0
2018-10-11,2018,11,BOS,EDM,4,1,-165.0,-160.0,144.0,145.0,-1.5,170.0,1.5,-200.0,6.0,-110.0,6.0,-110.0
2018-10-11,2018,13,TBL,VAN,1,4,-275.0,-280.0,226.0,245.0,-1.5,100.0,1.5,-120.0,6.5,-110.0,6.0,-120.0
2018-10-11,2018,15,DET,TOR,3,5,155.0,145.0,-180.0,-160.0,1.5,-175.0,-1.5,155.0,6.5,-110.0,6.5,100.0
2018-10-11,2018,17,MTL,LAK,0,3,-130.0,-110.0,110.0,100.0,-1.5,245.0,1.5,-305.0,5.5,-110.0,5.5,100.0
2018-10-11,2018,19,NSH,WPG,3,0,-135.0,-130.0,115.0,120.0,-1.5,210.0,1.5,-260.0,6.0,-110.0,6.0,105.0
2018-10-11,2018,21,STL,CGY,5,3,-140.0,-125.0,120.0,115.0,-1.5,225.0,1.5,-275.0,6.0,-110.0,6.0,100.0
2018-10-11,2018,23,MIN,CHI,4,3,-170.0,-165.0,148.0,150.0,-1.5,175.0,1.5,-205.0,6.0,-110.0,6.0,-105.0
