date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_puckline,home_puckline_price,away_puckline,away_puckline_price,total_open,total_open_price,total_close,total_close_price
2022-10-11,2022,65,NYR,TBL,3,1,-120.0,-127.0,100.0,117.0,-1.5,220.0,1.5,-250.0,5.5,-105.0,5.5,100.0
2022-10-11,2022,67,LAK,VGK,3,4,-120.0,-111.0,100.0,101.0,-1.5,210.0,1.5,-240.0,6.0,100.0,6.0,-130.0
2022-10-12,2022,69,CAR,CBJ,4,1,-210.0,-270.0,175.0,240.0,-1.5,-110.0,1.5,-110.0,6.0,-105.0,6.5,105.0
2022-10-12,2022,71,WSH,BOS,2,5,-115.0,-140.0,-105.0,130.0,-1.5,195.0,1.5,-220.0,6.0,-135.0,6.0,-115.0
2022-10-12,2022,73,MTL,TOR,4,3,200.0,210.0,-250.0,-240.0,1.5,-125.0,-1.5,105.0,6.5,-125.0,6.5,-145.0
2022-10-12,2022,75,COL,CHI,5,2,-400.0,-400.0,310.0,330.0,-1.5,-150.0,1.5,130.0,6.5,-115.0,6.5,-120.0
2022-10-12,2022,77,EDM,VAN,5,3,-180.0,-185.0,150.0,165.0,-1.5,140.0,1.5,-160.0,6.5,-105.0,6.5,-120.0
2022-10-12,2022,79,ANA,SEA,5,4,-145.0,-110.0,125.0,100.0,-1.5,220.0,1.5,-250.0,6.0,100.0,5.5,-125.0
2022-10-13,2022,1,BUF,OTT,4,1,-105.0,111.0,-115.0,-121.0,1.5,-250.0,-1.5,220.0,6.0,-110.0,6.5,-125.0
2022-10-13,2022,3,PIT,ARI,6,2,-350.0,-380.0,280.0,320.0,-1.5,-155.0,1.5,135.0,6.5,-115.0,6.5,100.0
2022-10-13,2022,5,PHI,NJD,5,2,110.0,113.0,-130.0,-123.0,1.5,-230.0,-1.5,200.0,6.0,-110.0,6.0,-105.0
2022-10-13,2022,7,NYI,FLA,1,3,110.0,130.0,-130.0,-140.0,1.5,-210.0,-1.5,185.0,6.0,-110.0,6.0,-110.0
2022-10-13,2022,9,TOR,WSH,3,2,-170.0,-205.0,145.0,185.0,-1.5,125.0,1.5,-145.0,6.5,-115.0,6.5,-135.0
2022-10-13,2022,11,MIN,NYR,3,7,-130.0,-122.0,110.0,112.0,-1.5,200.0,1.5,-230.0,6.0,-115.0,6.0,105.0
2022-10-13,2022,13,NSH,DAL,1,4,-140.0,-130.0,120.0,120.0,-1.5,205.0,1.5,-235.0,6.0,-105.0,5.5,-120.0
2022-10-13,2022,15,CGY,COL,5,3,-120.0,-136.0,100.0,126.0,-1.5,200.0,1.5,-230.0,6.0,-115.0,6.5,100.0
2022-10-13,2022,17,VGK,CHI,1,0,-350.0,-350.0,280.0,300.0,-1.5,-140.0,1.5,120.0,6.5,-115.0,6.5,-115.0
2022-10-13,2022,19,LAK,SEA,1,4,-195.0,-170.0,165.0,155.0,-1.5,155.0,1.5,-175.0,6.0,-110.0,6.0,-120.0
2022-10-14,2022,21,CBJ,TBL,2,5,145.0,185.0,-170.0,-205.0,1.5,-155.0,-1.5,135.0,6.5,-105.0,6.0,-120.0
