date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_spread,home_spread_price,away_spread,away_spread_price,total_open,total_open_price,total_close,total_close_price
2018-09-06,2018,451,PHI,ATL,18,12,,-101.0,,-119.0,,,,,46.5,,,
2018-09-09,2018,453,CLE,PIT,21,21,,155.0,,-185.0,,,,,6.5,,3.5,
2018-09-09,2018,455,MIN,SF,24,16,,-280.0,,230.0,,,,,47.0,,46.0,
2018-09-09,2018,457,IND,CIN,23,34,,-105.0,,-115.0,,,,,47.0,,1.0,
2018-09-09,2018,459,BAL,BUF,47,3,,-380.0,,290.0,,,,,42.5,,38.5,
2018-09-09,2018,461,NYG,JAX,15,20,,125.0,,-145.0,,,,,3.5,,3.0,
2018-09-09,2018,463,NO,TB,40,48,,-550.0,,400.0,,,,,51.5,,49.5,
2018-09-09,2018,465,NE,HOU,27,20,,-275.0,,225.0,,,,,51.0,,49.5,
2018-09-09,2018,467,MIA,TEN,27,20,,-110.0,,-110.0,,,,,2.5,,43.5,
2018-09-09,2018,469,LAC,KC,28,38,,-190.0,,160.0,,,,,47.5,,48.5,
2018-09-09,2018,471,DEN,SEA,27,24,,-190.0,,160.0,,,,,42.5,,43.0,
2018-09-09,2018,473,CAR,DAL,16,8,,-170.0,,145.0,,,,,44.0,,42.0,
2018-09-09,2018,475,ARI,WAS,6,24,,-135.0,,115.0,,,,,44.0,,43.5,
2018-09-09,2018,477,GB,CHI,24,23,,-310.0,,250.0,,,,,47.5,,45.0,
2018-09-10,2018,479,DET,NYJ,17,48,,-360.0,,280.0,,,,,44.0,,44.0,
2018-09-10,2018,481,LV,LAR,13,33,,240.0,,-300.0,,,,,1.0,,6.5,
2018-09-13,2018,101,CIN,BAL,34,23,,100.0,,-120.0,,,,,2.0,,1.0,
2018-09-16,2018,261,WAS,IND,9,21,,-260.0,,210.0,,,,,47.5,,48.5,
2018-09-16,2018,263,ATL,CAR,31,24,,-240.0,,190.0,,,,,44.0,,43.5,
2018-09-16,2018,265,GB,MIN,29,29,,105.0,,-125.0,,,,,47.0,,1.5,
2018-09-16,2018,267,BUF,LAC,20,31,,280.0,,-360.0,,,,,7.0,,7.5,
2018-09-16,2018,269,TEN,HOU,20,17,,170.0,,-200.0,,,,,2.5,,3.5,
2018-09-16,2018,271,PIT,KC,37,42,,-220.0,,180.0,,,,,50.5,,53.0,
2018-09-16,2018,273,NYJ,MIA,12,20,,-170.0,,145.0,,,,,44.0,,43.0,
2018-09-16,2018,275,TB,PHI,27,21,,140.0,,-160.0,,,,,3.0,,3.0,
2018-09-16,2018,277,NO,CLE,21,18,,-550.0,,400.0,,,,,47.5,,51.0,
2018-09-16,2018,279,LAR,ARI,34,0,,-1000.0,,650.0,,,,,46.5,,43.5,
2018-09-16,2018,281,SF,DET,30,27,,-275.0,,225.0,,,,,47.0,,48.5,
2018-09-16,2018,283,JAX,NE,31,20,,105.0,,-125.0,,,,,2.5,,1.5,
2018-09-16,2018,285,DEN,LV,20,19,,-260.0,,210.0,,,,,45.0,,44.5,
2018-09-16,2018,287,DAL,NYG,20,13,,-140.0,,120.0,,,,,43.5,,42.0,
2018-09-17,2018,289,CHI,SEA,24,17,,-240.0,,190.0,,,,,43.5,,42.0,
2018-09-20,2018,301,CLE,NYJ,21,17,,-200.0,,170.0,,,,,40.5,,41.0,
2018-09-23,2018,461,PHI,IND,20,16,,-302.0,,247.0,,,,,48.0,,45.0,
2018-09-23,2018,463,CAR,CIN,31,21,,-150.0,,130.0,,,,,44.0,,44.5,
2018-09-23,2018,465,JAX,TEN,6,9,,-510.0,,390.0,,,,,39.0,,39.5,
2018-09-23,2018,467,ATL,NO,37,43,,-131.0,,111.0,,,,,52.5,,54.0,
2018-09-23,2018,469,BAL,DEN,27,14,,-240.0,,199.0,,,,,44.0,,46.0,
2018-09-23,2018,471,HOU,NYG,22,27,,-280.0,,230.0,,,,,42.0,,44.5,
2018-09-23,2018,473,MIA,LV,28,20,,-147.0,,127.0,,,,,44.0,,45.5,
2018-09-23,2018,475,WAS,GB,31,17,,122.0,,-142.0,,,,,3.0,,2.0,
2018-09-23,2018,477,MIN,BUF,6,27,,-1703.0,,948.0,,,,,41.5,,41.0,
2018-09-23,2018,479,KC,SF,38,27,,-280.0,,230.0,,,,,54.5,,53.5,
2018-09-23,2018,481,LAR,LAC,35,23,,-325.0,,263.0,,,,,48.0,,49.5,
