date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_spread,home_spread_price,home_spread_open,away_spread,away_spread_open,away_spread_price,total_open,total_open_price,total_close,total_close_price
2022-09-10,2022,451,KC,HOU,34,20,,-450.0,,375.0,-9.5,-110.0,-9.5,9.5,9.5,-110.0,54.0,,53.5,
2022-09-13,2022,453,NE,MIA,21,11,,-350.0,,290.0,-7.0,-110.0,-7.0,7.0,7.0,-110.0,43.0,,41.5,
2022-09-13,2022,455,BAL,CLE,38,6,,-330.0,,270.0,-7.0,-110.0,-8.5,7.0,8.5,-110.0,48.5,,47.5,
2022-09-13,2022,457,BUF,NYJ,27,17,,-300.0,,250.0,-6.5,-110.0,-6.0,6.5,6.0,-110.0,39.5,,39.0,
2022-09-13,2022,459,CAR,LV,30,34,,130.0,,-150.0,3.0,-110.0,1.5,-3.0,-1.5,-110.0,47.0,,48.0,
2022-09-13,2022,461,ATL,SEA,25,38,,-115.0,,-105.0,-49.5,-110.0,-1.0,49.5,1.0,-110.0,49.5,,1.0,
2022-09-13,2022,463,WAS,PHI,27,17,,195.0,,-230.0,5.5,-110.0,6.5,-5.5,-6.5,-110.0,44.0,,41.5,
2022-09-13,2022,465,DET,CHI,23,27,,-130.0,,110.0,-2.5,-110.0,-1.0,2.5,1.0,-110.0,43.5,,42.5,
2022-09-13,2022,467,JAX,IND,27,20,,265.0,,-320.0,7.0,-110.0,6.5,-7.0,-6.5,-110.0,44.5,,44.0,
2022-09-13,2022,469,MIN,GB,34,43,,-125.0,,105.0,-1.5,-110.0,-3.0,1.5,3.0,-110.0,46.0,,44.5,
2022-09-13,2022,471,CIN,LAC,13,16,,110.0,,-130.0,2.0,-110.0,3.0,-2.0,-3.0,-110.0,44.0,,41.0,
2022-09-13,2022,473,SF,ARI,20,24,,-300.0,,250.0,-6.5,-110.0,-7.0,6.5,7.0,-110.0,46.5,,48.5,
2022-09-13,2022,475,NO,TB,34,23,,-200.0,,175.0,-4.0,-110.0,-4.0,4.0,4.0,-110.0,49.5,,48.5,
2022-09-13,2022,477,LAR,DAL,20,17,,-110.0,,-110.0,0.0,-110.0,2.5,-0.0,-2.5,-110.0,49.5,,52.0,
2022-09-14,2022,479,NYG,PIT,16,26,,220.0,,-260.0,6.0,-110.0,3.5,-6.0,-3.5,-110.0,46.5,,44.0,
2022-09-14,2022,481,DEN,TEN,14,16,,150.0,,-170.0,3.0,-110.0,42.0,-3.0,-42.0,-110.0,1.0,,41.0,
2022-09-17,2022,101,CLE,CIN,35,30,,-260.0,,220.0,-6.0,-110.0,-7.5,6.0,7.5,-110.0,46.0,,43.5,
2022-09-20,2022,261,PHI,LAR,19,37,,-130.0,,110.0,-2.0,-110.0,-3.5,2.0,3.5,-110.0,48.5,,46.0,
2022-09-20,2022,263,TB,CAR,31,17,,-380.0,,320.0,-8.0,-110.0,-8.0,8.0,8.0,-110.0,48.5,,47.0,
2022-09-20,2022,265,PIT,DEN,26,21,,-300.0,,250.0,-6.5,-110.0,-5.5,6.5,5.5,-110.0,43.0,,41.0,
2022-09-20,2022,267,DAL,ATL,40,39,,-140.0,,120.0,-2.5,-110.0,-7.0,2.5,7.0,-110.0,50.0,,53.5,
2022-09-20,2022,269,NYJ,SF,13,31,,275.0,,-335.0,7.0,-110.0,6.0,-7.0,-6.0,-110.0,43.5,,41.5,
2022-09-20,2022,271,MIA,BUF,28,31,,200.0,,-240.0,5.5,-110.0,3.5,-5.5,-3.5,-110.0,43.0,,42.5,
2022-09-20,2022,273,IND,MIN,28,11,,-180.0,,160.0,-3.5,-110.0,-2.5,3.5,2.5,-110.0,46.0,,49.0,
2022-09-20,2022,275,GB,DET,42,21,,-300.0,,250.0,-6.5,-110.0,-6.0,6.5,6.0,-110.0,46.0,,51.0,
2022-09-20,2022,277,CHI,NYG,17,13,,-220.0,,190.0,-4.5,-110.0,-5.5,4.5,5.5,-110.0,43.0,,43.0,
2022-09-20,2022,279,TEN,JAX,33,30,,-310.0,,260.0,-7.0,-110.0,-11.0,7.0,11.0,-110.0,4.0,,45.0,
2022-09-20,2022,281,ARI,WAS,30,15,,-330.0,,270.0,-7.0,-110.0,-6.0,7.0,6.0,-110.0,46.5,,46.5,
2022-09-20,2022,283,HOU,BAL,16,33,,290.0,,-350.0,7.5,-110.0,5.5,-7.5,-5.5,-110.0,53.5,,49.0,
2022-09-20,2022,285,LAC,KC,20,23,,350.0,,-420.0,8.5,-110.0,6.5,-8.5,-6.5,-110.0,50.5,,47.5,
2022-09-20,2022,287,SEA,NE,35,30,,-210.0,,180.0,-4.5,-110.0,-3.0,4.5,3.0,-110.0,44.0,,45.0,
2022-09-21,2022,289,LV,NO,34,24,,175.0,,-200.0,3.5,-110.0,4.5,-3.5,-4.5,-110.0,50.5,,47.0,
2022-09-24,2022,301,JAX,MIA,13,31,,-140.0,,120.0,-2.5,-110.0,-1.5,2.5,1.5,-110.0,44.0,,49.0,
2022-09-27,2022,461,NE,LV,36,20,,-330.0,,270.0,-7.0,-110.0,-3.5,7.0,3.5,-110.0,48.0,,47.0,
2022-09-27,2022,463,BUF,LAR,35,32,,-130.0,,110.0,-2.0,-110.0,-3.0,2.0,3.0,-110.0,44.5,,46.5,
2022-09-27,2022,465,PIT,HOU,28,21,,-190.0,,170.0,-3.5,-110.0,-5.5,3.5,5.5,-110.0,45.0,,46.5,
2022-09-27,2022,467,NYG,SF,9,36,,140.0,,-160.0,3.0,-110.0,6.5,-3.0,-6.5,-110.0,42.5,,44.0,
2022-09-27,2022,469,MIN,TEN,30,31,,130.0,,-150.0,2.5,-110.0,1.0,-2.5,-1.0,-110.0,45.5,,49.0,
2022-09-27,2022,471,CLE,WAS,34,20,,-330.0,,270.0,-7.0,-110.0,-4.0,7.0,4.0,-110.0,45.5,,45.0,
2022-09-27,2022,473,PHI,CIN,23,23,,-240.0,,200.0,-5.5,-110.0,-5.5,5.5,5.5,-110.0,45.5,,47.0,
2022-09-27,2022,475,ATL,CHI,26,30,,-140.0,,120.0,-2.5,-110.0,-3.0,2.5,3.0,-110.0,48.0,,46.5,
2022-09-27,2022,477,IND,NYJ,36,7,,-700.0,,500.0,-11.5,-110.0,-6.5,11.5,6.5,-110.0,45.0,,44.0,
2022-09-27,2022,479,LAC,CAR,16,21,,-270.0,,230.0,-6.0,-110.0,-6.0,6.0,6.0,-110.0,44.0,,43.5,
2022-09-27,2022,481,ARI,DET,23,26,,-240.0,,200.0,-5.0,-110.0,-3.5,5.0,3.5,-110.0,51.0,,55.5,
2022-09-27,2022,483,DEN,TB,10,28,,225.0,,-265.0,6.0,-110.0,3.5,-6.0,-3.5,-110.0,44.5,,42.5,
2022-09-27,2022,485,SEA,DAL,38,31,,-240.0,,200.0,-5.5,-110.0,-3.0,5.5,3.0,-110.0,56.0,,56.5,
