date,season_start,base_rot,home_team,away_team,home_score,away_score,home_ml_open,home_ml_close,away_ml_open,away_ml_close,home_spread,home_spread_price,away_spread,away_spread_price,total_open,total_open_price,total_close,total_close_price
2021-09-09,2021,451,TB,DAL,31,29,,-450.0,,375.0,,,,,52.5,,52.5,
2021-09-12,2021,453,BUF,PIT,16,23,,-280.0,,240.0,,,,,51.0,,47.5,
2021-09-12,2021,455,CAR,NYJ,19,14,,-180.0,,160.0,,,,,43.5,,44.5,
2021-09-12,2021,457,HOU,JAX,37,21,,150.0,,-170.0,,,,,,,3.0,
2021-09-12,2021,459,TEN,ARI,13,38,,-145.0,,125.0,,,,,51.5,,54.0,
2021-09-12,2021,461,WAS,LAC,16,20,,-130.0,,110.0,,,,,45.0,,45.5,
2021-09-12,2021,463,ATL,PHI,6,32,,-175.0,,155.0,,,,,47.0,,48.5,
2021-09-12,2021,465,IND,SEA,16,28,,125.0,,-145.0,,,,,52.5,,2.5,
2021-09-12,2021,467,CIN,MIN,27,24,,135.0,,-155.0,,,,,3.0,,3.0,
2021-09-12,2021,469,DET,SF,33,41,,360.0,,-430.0,,,,,9.0,,10.0,
2021-09-12,2021,471,KC,CLE,33,29,,-245.0,,205.0,,,,,53.0,,54.5,
2021-09-12,2021,473,NE,MIA,16,17,,-185.0,,165.0,,,,,46.0,,43.0,
2021-09-12,2021,475,NYG,DEN,13,27,,125.0,,-145.0,,,,,,,2.5,
2021-09-12,2021,479,LAR,CHI,34,14,,-400.0,,330.0,,,,,45.5,,46.0,
2021-09-13,2021,481,LV,BAL,33,27,,140.0,,-160.0,,,,,7.0,,3.0,
2021-09-16,2021,101,WAS,NYG,30,29,,-200.0,,175.0,,,,,42.5,,41.5,
2021-09-19,2021,269,CAR,NO,26,7,,130.0,,-150.0,,,,,3.0,,3.0,
2021-09-19,2021,271,CLE,HOU,31,21,,-800.0,,550.0,,,,,45.5,,49.0,
2021-09-19,2021,273,CHI,CIN,20,17,,-125.0,,105.0,,,,,45.5,,44.5,
2021-09-19,2021,275,PIT,LV,17,26,,-220.0,,190.0,,,,,49.5,,46.5,
2021-09-19,2021,277,MIA,BUF,0,35,,170.0,,-190.0,,,,,3.0,,3.5,
2021-09-19,2021,279,IND,LAR,24,27,,180.0,,-210.0,,,,,2.5,,4.0,
2021-09-19,2021,281,PHI,SF,11,17,,130.0,,-150.0,,,,,4.5,,2.5,
2021-09-19,2021,283,JAX,DEN,13,23,,220.0,,-260.0,,,,,3.0,,7.0,
2021-09-19,2021,285,NYJ,NE,6,25,,200.0,,-240.0,,,,,3.5,,5.5,
2021-09-19,2021,287,ARI,MIN,34,33,,-190.0,,170.0,,,,,49.5,,50.5,
2021-09-19,2021,289,TB,ATL,48,25,,-800.0,,550.0,,,,,52.5,,52.0,
2021-09-19,2021,291,SEA,TEN,30,33,,-280.0,,240.0,,,,,49.5,,54.0,
2021-09-19,2021,293,LAC,DAL,17,20,,-165.0,,145.0,,,,,51.5,,55.0,
2021-09-19,2021,295,BAL,KC,36,35,,165.0,,-185.0,,,,,1.0,,3.5,
2021-09-20,2021,297,GB,DET,35,17,,-600.0,,450.0,,,,,48.5,,49.5,
2021-09-23,2021,301,HOU,CAR,9,24,,330.0,,-400.0,,,,,4.5,,9.0,
2021-09-26,2021,469,JAX,ARI,19,31,,310.0,,-370.0,,,,,6.0,,9.0,
2021-09-26,2021,471,TEN,IND,25,16,,-220.0,,190.0,,,,,49.5,,46.5,
2021-09-26,2021,473,DET,BAL,17,19,,300.0,,-360.0,,,,,7.5,,9.0,
2021-09-26,2021,475,BUF,WAS,43,21,,-330.0,,270.0,,,,,47.5,,45.5,
2021-09-26,2021,477,NE,NO,13,28,,-150.0,,130.0,,,,,46.5,,43.5,
2021-09-26,2021,479,KC,LAC,24,30,,-300.0,,250.0,,,,,53.0,,55.0,
2021-09-26,2021,481,NYG,ATL,14,17,,-150.0,,130.0,,,,,43.5,,47.5,
2021-09-26,2021,483,CLE,CHI,26,6,,-370.0,,310.0,,,,,46.0,,44.5,
2021-09-26,2021,485,PIT,CIN,10,24,,-150.0,,130.0,,,,,47.5,,42.0,
2021-09-26,2021,487,LV,MIA,31,28,,-190.0,,170.0,,,,,48.0,,45.5,
2021-09-26,2021,489,DEN,NYJ,26,0,,-650.0,,475.0,,,,,43.5,,42.0,
2021-09-26,2021,491,LAR,TB,34,24,,-115.0,,-105.0,,,,,52.5,,55.0,
2021-09-26,2021,493,MIN,SEA,30,17,,110.0,,-130.0,,,,,2.5,,,
2021-09-26,2021,495,SF,GB,28,30,,-180.0,,160.0,,,,,48.0,,50.5,
2021-09-27,2021,497,DAL,PHI,41,21,,-185.0,,165.0,,,,,52.5,,51.5,
